id,grieks,translit,translitz,nedS,nedI,nedSz,nedIz,strong,CGTparsing,CGTparsingT,CGTparsingN,CGTparsingTN,griUniekeid,bijvolgende,samen
11348,τεσσαρσιν,tessarsin,tessarsin,<i>aan</i>-VIER,<i>aan</i> vier,aan-VIER,aan vier,5064,A-DPN,A-DPN,A-DOM,A-DOM,5252,NULL,NULL
11349,τετραδιοις,tetradiois,tetradiois,VIER-tje<i>s</i>,afdeling<i>en</i> van vier,VIER-tjes,afdelingen van vier,5069,N-DPN,N-DPN,N-DOM,N-DOM,5258,NULL,NULL
11350,στρατιωτων,stratiōtōn,stratioton,<i>van</i>-KRIJGer<i>s</i>,<i>van</i> soldat<i>en</i>,van-KRIJGers,van soldaten,4757,N-GPM,N-GPM,N-GMM,N-GMM,4971,NULL,NULL
11351,φυλασσειν,p<sup>h</sup>ulassein,phulassein,BEWAKEN<i>de-te-zijn</i>,bewaken<i>de te zijn</i>,BEWAKENde-te-zijn,bewakende te zijn,5442,V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,4226,NULL,NULL
11352,αναγαγειν,anagagein,anagagein,OPWAARTS-<i>te</i>-VOEREN,omhoog <i>te</i> leiden,OPWAARTS-te-VOEREN,omhoog te leiden,321,V-NNAN,V-2AAN,W-GHAO,W-2Ao-Act-Inf,287,NULL,NULL
11353,ετηρειτο,etēreito,etereito,<i>(hij)</i>-BEWAAR<i>de</i><sup>๏</sup>,<i>(hij)</i> bewaar<i>de</i><sup>๏</sup>,(hij)-BEWAARde๏,(hij) bewaarde๏,5083,V-PIMI-3S,V-IPI-3S,W-VOMA-3E,W-Im-Med-Ind-3E,5248,NULL,NULL
11354,εκτενως,ektenōs,ektenos,UIT-STREKKEN-ALS,vurig,UIT-STREKKEN-ALS,vurig,1619,ADV,ADV,BIJW,BIJW,1561,NULL,NULL
11355,γινομενη,ginomenē,ginomene,GEWORDEN<i>de-zijnde</i><sup>๏</sup>,worden<i>de zijnde</i><sup>๏</sup>,GEWORDENde-zijnde,wordende zijnde,1096,V-NIMP-NSF,V-PNP-NSF,W-GOMD-NVE,W-Pr-Med-Ptc-NVE,2157,NULL,NULL
11356,προσαγαγειν,prosagagein,prosagagein,NAARTOE-<i>te</i>-VOEREN,<i>te</i> leiden naar,NAARTOE-te-VOEREN,te leiden naar,4317,V-NNAN,V-2AAN,W-GHAO,W-2Ao-Act-Inf,4493,NULL,NULL
11357,κοιμωμενος,koimōmenos,koimomenos,LIGGEN<i>de-zijnde</i><sup>๏</sup>,(liggend) rusten<i>de zijnden</i><sup>๏</sup>,LIGGENde-zijnde,(liggend) rustende zijnden,2837,V-NIMP-NSM,V-PPP-NSM,W-GOMD-NME,W-Pr-Med-Ptc-NME,3015,NULL,NULL
11358,φυλακες,p<sup>h</sup>ulakes,phulakes,BEWAKer<i>s</i>,wachter<i>s</i>,BEWAKers,wachters,5441,N-NPM,N-NPM,N-NMM,N-NMM,4227,NULL,NULL
11360,οικηματι,oikēmati,oikemati,HUIS-effect,vertrek,HUIS-effect,vertrek,3612,N-DSN,N-DSN,N-DOE,N-DOE,3660,NULL,NULL
11362,εξεπεσαν,ek<sup>s</sup>epesan,eksepesan,<i>(zij)</i>-UIT-VALLEN,<i>(zij)</i> vallen uit,(zij)-UIT-VALLEN,(zij) vallen uit,1601,V-NNAI-3P,V-2AAI-3P,W-GHAA-3M,W-2Ao-Act-Ind-3M,1543,NULL,NULL
11363,αλυσεις,<sup>h</sup>aluseis,haluseis,ON-LOShed<i>en</i>,keten<i>en</i>,ON-LOSheden,ketenen,254,N-NPF,N-NPF,N-NVM,N-NVM,2229,NULL,NULL
11364,ζωσαι,zōsai,zosai,GORD-<i>(je)!</i><sup>๏</sup>,gord <i>(je)!</i><sup>๏</sup>,GORD-(je)!๏,gord (je)!๏,2224,V-NNMM-2S,V-AMM-2S,W-GHMG-2E,W-Ao-Med-Imp-2E,5502,NULL,NULL
11365,υποδησαι,<sup>h</sup>upodēsai,hupodesai,ONDER-BIND-<i>(je)!</i><sup>๏</sup>,bind onder <i>(je)!</i><sup>๏</sup>,ONDER-BIND-(je)!๏,bind onder (je)!๏,5265,V-NNMM-2S,V-AMM-2S,W-GHMG-2E,W-Ao-Med-Imp-2E,2535,NULL,NULL
11366,περιβαλου,peribalou,peribalou,RONDOM-WERP-<i>(je)!</i><sup>๏</sup>,omhul <i>(je)!</i><sup>๏</sup>,RONDOM-WERP-(je)!๏,omhul (je)!๏,4016,V-NNMM-2S,V-2AMM-2S,W-GHMG-2E,W-2Ao-Med-Imp-2E,4031,NULL,NULL
11367,αληθες,alēt<sup>h</sup>es,alethes,WAR<i>e</i>,war<i>e</i>,WARe,ware,227,A-NSN,A-NSN,A-NOE,A-NOE,192,NULL,NULL
11368,γινομενον,ginomenon,ginomenon,GEWORDEN<i>de-zijnde</i><sup>๏</sup>,worden<i>de zijnde</i><sup>๏</sup>,GEWORDENde-zijnde,wordende zijnde,1096,V-NIMP-NSN,V-PNP-NSN,W-GOMD-NOE,W-Pr-Med-Ptc-NOE,2157,NULL,NULL
11369,εδοκει,edokei,edokei,<i>(hij)</i>-SCHEEN,<i>(hij)</i> scheen,hij-SCHEEN,hij scheen,1380,V-PIAI-3S,V-IAI-3S,W-VOAA-3E,W-Im-Act-Ind-3E,1342,NULL,NULL
11370,διελθοντες,dielt<sup>h</sup>ontes,dielthontes,DOOR-KOMEN<i>den</i>,door komen<i>den</i>,DOOR-KOMENden,door komenden,1330,V-NNAP-NPM,V-2AAP-NPM,W-GHAD-NMM,W-2Ao-Act-Ptc-NMM,1287,NULL,NULL
11371,δευτεραν,deuteran,deuteran,TWEE-meer,tweede,TWEE-meer,tweede,1208,A-ASF,A-ASF,A-AVE,A-AVE,1168,NULL,NULL
11372,ηλθαν,ēlt<sup>h</sup>an,elthan,<i>(zij)</i>-KOMEN,<i>(zij)</i> komen,zij-KOMEN,zij komen,2064,V-NNAI-3P,V-2AAI-3P,W-GHAA-3M,W-2Ao-Act-Ind-3M,1925,NULL,NULL
11373,πυλην,pulēn,pulen,POORT,poort,POORT,poort,4439,N-ASF,N-ASF,N-AVE,N-AVE,4636,NULL,NULL
11374,σιδηραν,sidēran,sideran,IJZERen,ijzeren,IJZERen,ijzeren,4603,A-ASF,A-ASF,A-AVE,A-AVE,4792,NULL,NULL
11375,φερουσαν,p<sup>h</sup>erousan,pherousan,DRAGEN<i>de-zijnde</i>,dragen<i>de zijnde</i>,DRAGENde-zijnde,dragende zijnde,5342,V-NIAP-ASF,V-PAP-ASF,W-GOAD-AVE,W-Pr-Act-Ptc-AVE,4123,NULL,NULL
11376,ηνοιγη,ēnoigē,enoige,<i>(hij)-wordt</i>-OPWAARTS-<i>ge</i>OPEN<i>d</i>,<i>(hij) wordt ge</i>open<i>d</i>,(hij)-wordt-OPWAARTS-geOPENd,(hij) wordt geopend,455,V-NNPI-3S,V-2API-3S,W-GHPA-3E,W-2Ao-Pas-Ind-3E,407,NULL,NULL
11378,συνιδων,sunidōn,sunidon,SAMEN-WAARNEMEN<i>den</i>,bewust zijn<i>de zijnde</i>,SAMEN-WAARNEMENden,bewust zijnde zijnde,4894,V-NNAP-NSM,V-2AAP-NSM,W-GHAD-NME,W-2Ao-Act-Ptc-NME,5101,NULL,NULL
11379,επικαλουμενου,epikaloumenou,epikaloumenou,OP-ROEPen<i>de-zijnde</i><sup>๏</sup>,aanroepen<i>de zijnde</i><sup>๏</sup>,OP-ROEPende-zijnde,aanroepende zijnde,1941,V-NIMP-GSM,V-PPP-GSM,W-GOMD-GME,W-Pr-Med-Ptc-GME,1826,NULL,NULL
11380,μαρκου,markou,markou,MARCUS,Marcus,MARCUS,Marcus,3138,N-GSM,N-GSM,N-GME,N-GME,3312,NULL,NULL
11381,συνηθροισμενοι,sunēt<sup>h</sup>roismenoi,sunethroismenoi,SAMEN-BIJEEN<i>ge</i>ROEPEN-<i>hebbenden</i><sup>๏</sup>,bijeen<i>ge</i>komen <i>hebbenden</i><sup>๏</sup>,SAMEN-BIJEENgeROEPEN-hebbenden๏,bijeengekomen hebbenden๏,4867,V-NCMP-NPM,V-RPP-NPM,W-GVMD-NMM,W-Pf-Med-Ptc-NMM,5087,NULL,NULL
11382,κρουσαντος,krousantos,krousantos,<i>van</i>-KLOPpen<i>de</i>,<i>van</i> kloppen<i>de</i>,van-KLOPpende,van kloppende,2925,V-NNAP-GSM,V-AAP-GSM,W-GHAD-GME,W-Ao-Act-Ptc-GME,3111,NULL,NULL
11383,πυλωνος,pulōnos,pulonos,POORT,poort,POORT,poort,4440,N-GSM,N-GSM,N-GME,N-GME,4637,NULL,NULL
11384,υπακουσαι,<sup>h</sup>upakousai,hupakousai,ONDER-<i>te</i>-HOREN,<i>te</i> gehoorzamen,ONDER-te-HOREN,te gehoorzamen,5219,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,2484,NULL,NULL
11385,ροδη,r<sup>h</sup>odē,rhode,RHODE,Rhóde,RHODE,Rhóde,4498,N-NSF,N-NSF,N-NVE,N-NVE,4679,NULL,NULL
11387,εισδραμουσα,eisdramousa,eisdramousa,NAARBINNEN-RENNEN<i>de</i>,binnenrennen<i>de</i>,NAARBINNEN-RENNENde,binnenrennende,1532,V-NNAP-NSF,V-2AAP-NSF,W-GHAD-NVE,W-2Ao-Act-Ptc-NVE,1471,NULL,NULL
11388,μαινη,mainē,maine,<i>(jij)-bent</i>-GEK-zijn<i>de</i><sup>๏</sup>,<i>(jij) bent</i> gek zijn<i>de</i><sup>๏</sup>,jij-bent-GEK-zijnde,jij bent gek zijnde,3105,V-RIMI-2S,V-PNI-2S,W-HOMA-2E,W-Pr-Med-Ind-2E,3279,NULL,NULL
11389,επεμενεν,epemenen,epemenen,<i>(hij)</i>-OP-BLEEF,<i>(hij)</i> verbleef,(hij)-OP-BLEEF,(hij) verbleef,1961,V-PIAI-3S,V-IAI-3S,W-VOAA-3E,W-Im-Act-Ind-3E,1849,NULL,NULL
11390,κρουων,krouōn,krouon,KLOPpen<i>de-zijnde</i>,kloppen<i>de zijnde</i>,KLOPpende-zijnde,kloppende zijnde,2925,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,3111,NULL,NULL
11391,κατασεισας,kataseisas,kataseisas,NEER-BEVEN<i>de</i>,gebaren<i>de</i>,NEER-BEVENde,gebarende,2678,V-NNAP-NSM,V-AAP-NSM,W-GHAD-NME,W-Ao-Act-Ptc-NME,2834,NULL,NULL
11392,σιγαν,sigan,sigan,ZWIJGEN<i>de-te-zijn</i>,zwijgen<i>de te zijn</i>,ZWIJGENde-te-zijn,zwijgende te zijn,4601,V-NIAN,V-PAN,W-GOAO,W-Pr-Act-Inf,4797,NULL,NULL
11393,διηγησατο,diēgēsato,diegesato,<i>(hij)</i>-DOOR-VOER<i>t</i><sup>๏</sup>,<i>(hij)</i> vertel<i>t</i><sup>๏</sup>,hij-DOOR-VOERt,hij vertelt,1334,V-NNMI-3S,V-ADI-3S,W-GHMA-3E,W-Ao-Med-Ind-3E,1283,NULL,NULL
11394,ιακωβω,iakōbō,iakobo,<i>aan</i>-JACOBUS,<i>aan</i> Jakobus,aan-JACOBUS,aan Jakobus,2385,N-DSM,N-DSM,N-DME,N-DME,2584,NULL,NULL
11395,ταραχος,tarak<sup>h</sup>os,tarakhos,VERWARRENd,verwarring,VERWARRENd,verwarring,5017,N-NSM,N-NSM,N-NME,N-NME,5210,NULL,NULL
11396,ολιγος,oligos,oligos,WEINIG,weinig,WEINIG,weinig,3641,A-NSM,A-NSM,A-NME,A-NME,3691,NULL,NULL
11397,επιζητησας,epizētēsas,epizetesas,OP-ZOEKEN<i>de</i>,zoeken<i>de</i> naar,OP-ZOEKENde,zoekende naar,1934,V-NNAP-NSM,V-AAP-NSM,W-GHAD-NME,W-Ao-Act-Ptc-NME,1915,NULL,NULL
11398,απαχθηναι,apak<sup>h</sup>t<sup>h</sup>ēnai,apakhthenai,VANAF-<i>ge</i>VOER<i>d-te-worden</i>,weg<i>ge</i>leid <i>te worden</i>,VANAF-geVOERd-te-worden,weggeleid te worden,520,V-NNPN,V-APN,W-GHPO,W-Ao-Pas-Inf,476,NULL,NULL
11399,θυμομαχων,t<sup>h</sup>umomak<sup>h</sup>ōn,thumomakhon,GEMOED-VECHTEN<i>de-zijnde</i>,strijdlustig zijn<i>de zijnde</i>,GEMOED-VECHTENde-zijnde,strijdlustig zijnde zijnde,2371,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,5359,NULL,NULL
11400,τυριοις,turiois,turiois,<i>aan</i>-TYRier<i>s</i>,<i>aan</i> Tyriër<i>s</i>,aan-TYRiers,aan Tyriërs,5183,N-DPM,N-DPM,N-DMM,N-DMM,5467,NULL,NULL
11401,σιδωνιοις,sidōniois,sidoniois,<i>aan</i>-SIDONiër<i>s</i>,<i>aan</i> Sidoniër<i>s</i>,aan-SIDONiërs,aan Sidoniërs,4606,A-DPF,A-DPF,A-DVM,A-DVM,4796,NULL,NULL
11402,παρησαν,parēsan,paresan,<i>(zij)</i>-LANGSBIJ-WAR<i>en</i>,<i>(zij)</i> war<i>en</i> aanwezig,zij-LANGSBIJ-WARen,zij waren aanwezig,3918,V-PIAI-3P,V-IAI-3P,W-VOAA-3M,W-Im-Act-Ind-3M,3926,NULL,NULL
11403,πεισαντες,peisantes,peisantes,OVERTUIGEN<i>den</i>,overtuigen<i>den</i>,OVERTUIGENden,overtuigenden,3982,V-NNAP-NPM,V-AAP-NPM,W-GHAD-NMM,W-Ao-Act-Ptc-NMM,3997,NULL,NULL
11404,βλαστον,blaston,blaston,UITgeSPROTEN,Blastus,UITgeSPROTEN,Blastus,986,N-ASM,N-ASM,N-AME,N-AME,937,NULL,NULL
11405,κοιτωνος,koitōnos,koitonos,LIGGEN-,kamerheer,LIGGEN-,kamerheer,2846,N-GSM,N-GSM,N-GME,N-GME,3024,NULL,NULL
11406,τρεφεσθαι,trep<sup>h</sup>est<sup>h</sup>ai,trephesthai,VOEDEN<i>de-te-zijn</i><sup>๏</sup>,voeden<i>de te zijn</i><sup>๏</sup>,VOEDENde-te-zijn,voedende te zijn,5142,V-NIMN,V-PPN,W-GOMO,W-Pr-Med-Inf,5419,NULL,NULL
11407,βασιλικης,basilikēs,basilikes,KONING-lijk,koninklijk,KONING-lijk,koninklijk,937,A-GSF,A-GSF,A-GVE,A-GVE,878,NULL,NULL
11408,τακτη,taktē,takte,<i>aan</i>-geZET<i>te</i>,<i>aan</i> vastgesteld<i>e</i>,aan-geZETte,aan vastgestelde,5002,A-DSF,A-DSF,A-DVE,A-DVE,5194,NULL,NULL
11409,ενδυσαμενος,endusamenos,endusamenos,IN-SLIPPEN<i>de</i><sup>๏</sup>,aandoen<i>de</i><sup>๏</sup>,IN-SLIPPENde,aandoende,1746,V-NNMP-NSM,V-AMP-NSM,W-GHMD-NME,W-Ao-Med-Ptc-NME,1672,NULL,NULL
11410,βασιλικην,basilikēn,basiliken,KONING-lijk,koninklijk,KONING-lijk,koninklijk,937,A-ASF,A-ASF,A-AVE,A-AVE,878,NULL,NULL
11411,εδημηγορει,edēmēgorei,edemegorei,<i>(hij)</i>-BEVOLKING-KOCHT,<i>(hij)</i> hield een publieke redevoering,(hij)-BEVOLKING-KOCHT,(hij) hield een publieke redevoering,1215,V-PIAI-3S,V-IAI-3S,W-VOAA-3E,W-Im-Act-Ind-3E,1140,NULL,NULL
11412,δημος,dēmos,demos,BEVOLKING,bevolking,BEVOLKING,bevolking,1218,N-NSM,N-NSM,N-NME,N-NME,1143,NULL,NULL
11413,επεφωνει,epep<sup>h</sup>ōnei,epephonei,<i>(hij)</i>-OP-GELUID-<i>de</i>,<i>(hij)</i> riep <i>terug</i>,(hij)-OP-GELUID-de,(hij) riep terug,2019,V-PIAI-3S,V-IAI-3S,W-VOAA-3E,W-Im-Act-Ind-3E,1861,NULL,NULL
11414,σκωληκοβρωτος,skōlēkobrōtos,skolekobrotos,WORM-NUTTIGing,wormvoedsel,WORM-NUTTIGing,wormvoedsel,4662,A-NSM,A-NSM,A-NME,A-NME,4840,NULL,NULL
11415,πληρωσαντες,plērōsantes,plerosantes,VOL-maken<i>den</i>,vervul<i>den</i>,VOL-makenden,vervulden,4137,V-NNAP-NPM,V-AAP-NPM,W-GHAD-NMM,W-Ao-Act-Ptc-NMM,4286,NULL,NULL
11416,συνπαραλαβοντες,sunparalabontes,sunparalabontes,SAMEN-LANGSBIJ-VATTEN<i>den</i>,meenemen<i>den</i> met,SAMEN-LANGSBIJ-VATTENden,meenemenden met,4838,V-NNAP-NPM,V-2AAP-NPM,W-GHAD-NMM,W-2Ao-Act-Ptc-NMM,5038,NULL,NULL
11417,μαρκον,markon,markon,MARCUS,Marcus,MARCUS,Marcus,3138,N-ASM,N-ASM,N-AME,N-AME,3312,NULL,NULL
11418,διδασκαλοι,didaskaloi,didaskaloi,LEER-er<i>s</i>,lerar<i>en</i>,LEER-ers,leraren,1320,N-NPM,N-NPM,N-NMM,N-NMM,1278,NULL,NULL
11419,νιγερ,niger,niger,NIGER,Niger,NIGER,Niger,3526,N-PRI,N-PRI,N-NAE,N-NAE,3592,NULL,NULL
11420,λουκιος,loukios,loukios,LUCIUS,Lucius,LUCIUS,Lucius,3066,N-NSM,N-NSM,N-NME,N-NME,3244,NULL,NULL
11421,κυρηναιος,kurēnaios,kurenaios,CYRENEeër,Cyreneeër,CYRENEeër,Cyreneeër,2956,N-NSM,N-NSM,N-NME,N-NME,3145,NULL,NULL
11422,μαναην,manaēn,manaen,MANAEN,Manaën,MANAEN,Manaën,3127,N-PRI,N-PRI,N-NAE,N-NAE,3301,NULL,NULL
11423,τετραρχου,tetrark<sup>h</sup>ou,tetrarkhou,VIER-OORSPRONG,viervorst,VIER-OORSPRONG,viervorst,5076,N-GSM,N-GSM,N-GME,N-GME,5266,NULL,NULL
11424,συντροφος,suntrop<sup>h</sup>os,suntrophos,SAMEN-geVOEDE,zoogbroeder,SAMEN-geVOEDE,zoogbroeder,4939,A-NSM,A-NSM,A-NME,A-NME,5157,NULL,NULL
11425,λειτουργουντων,leitourgountōn,leitourgounton,<i>van</i>-VOLK<i>de</i>-WERKen-<i>zijnden</i>,<i>van</i> ambt uitoefenen<i>de zijnden</i>,van-VOLKde-WERKen-zijnden,van ambt uitoefenende zijnden,3008,V-NIAP-GPM,V-PAP-GPM,W-GOAD-GMM,W-Pr-Act-Ptc-GMM,3185,NULL,NULL
11426,νηστευοντων,nēsteuontōn,nesteuonton,<i>van</i>-NEGATIEF-ETEN<i>de-zijnden</i>,<i>van</i> vasten<i>de zijnde</i>,van-NEGATIEF-ETENde-zijnden,van vastende zijnde,3522,V-NIAP-GPM,V-PAP-GPM,W-GOAD-GMM,W-Pr-Act-Ptc-GMM,3588,NULL,NULL
11427,αφορισατε,ap<sup>h</sup>orisate,aphorisate,VANAF-doe-ZIEN-<i>(jullie)!</i>,zonder <i>(jullie)</i> af!,VANAF-doet-ZIEN-(jullie)!,zondert (jullie) af!,873,V-NNAM-2P,V-AAM-2P,W-GHAG-2M,W-Ao-Act-Imp-2M,542,NULL,NULL
11428,προσκεκλημαι,proskeklēmai,proskeklemai,<i>(ik)-heb</i>-NAARTOE-<i>ge</i>ROEPen<sup>๏</sup>,<i>(ik) heb</i> tot me <i>ge</i>roepen<sup>๏</sup>,ik-heb-NAARTOE-geROEPen,ik heb tot me geroepen,4341,V-RCMI-1S,V-RNI-1S,W-HVMA-1E,W-Pf-Med-Ind-1E,4520,NULL,NULL
11429,νηστευσαντες,nēsteusantes,nesteusantes,NEGATIEF-ETEN<i>den</i>,vasten<i>den</i>,NEGATIEF-ETENden,vastenden,3522,V-NNAP-NPM,V-AAP-NPM,W-GHAD-NMM,W-Ao-Act-Ptc-NMM,3588,NULL,NULL
11430,προσευξαμενοι,proseuk<sup>s</sup>amenoi,proseuksamenoi,NAARTOE-PLECHTIG-spreken<i>den</i><sup>๏</sup>,bidden<i>den</i><sup>๏</sup>,NAARTOE-PLECHTIG-sprekenden๏,biddenden๏,4336,V-NNMP-NPM,V-ADP-NPM,W-GHMD-NMM,W-Ao-Med-Ptc-NMM,4518,NULL,NULL
11431,εκπεμφθεντες,ekpemp<sup>h</sup>t<sup>h</sup>entes,ekpemphthentes,UIT-<i>ge</i>ZONDEN-<i>wordenden</i>,uit<i>ge</i>zonden <i>wordenden</i>,UIT-geZONDEN-wordenden,uitgezonden wordenden,1599,V-NNPP-NPM,V-APP-NPM,W-GHPD-NMM,W-Ao-Pas-Ptc-NMM,1535,NULL,NULL
11432,σελευκειαν,seleukeian,seleukeian,SELEUCIE,Seleucië,SELEUCIE,Seleucië,4581,N-ASF,N-ASF,N-AVE,N-AVE,4775,NULL,NULL
11433,απεπλευσαν,apepleusan,apepleusan,<i>(zij)</i>-VANAF-DRIJVEN,<i>(zij)</i> varen weg,zij-VANAF-DRIJVEN,zij varen weg,636,V-NNAI-3P,V-AAI-3P,W-GHAA-3M,W-Ao-Act-Ind-3M,619,NULL,NULL
11434,κυπρον,kupron,kupron,CYPRUS,Cyprus,CYPRUS,Cyprus,2954,N-ASF,N-ASF,N-AVE,N-AVE,3143,NULL,NULL
11435,σαλαμινι,salamini,salamini,<i>aan</i>-SALAMIS,<i>aan</i> Sálamis,aan-SALAMIS,aan Sálamis,4529,N-DSF,N-DSF,N-DVE,N-DVE,4717,NULL,NULL
11436,κατηγγελλον,katēggellon,kateggellon,<i>(zij)</i>-NEER-BOODSCHAP<i>ten</i>,<i>(zij)</i> kondig<i>den</i> aan,zij-NEER-BOODSCHAPten,zij kondigden aan,2605,V-PIAI-3P,V-IAI-3P,W-VOAA-3M,W-Im-Act-Ind-3M,2760,NULL,NULL
11437,υπηρετην,<sup>h</sup>upēretēn,hupereten,ONDER-ROEIer,assistent,ONDER-ROEIer,assistent,5257,N-ASM,N-ASM,N-AME,N-AME,2514,NULL,NULL
11438,νησον,nēson,neson,EILAND,eiland,EILAND,eiland,3520,N-ASF,N-ASF,N-AVE,N-AVE,3586,NULL,NULL
11439,παφου,pap<sup>h</sup>ou,paphou,<i>van</i>-PAPHOS,<i>van</i> Pafos,van-PAPHOS,van Pafos,3974,N-GSF,N-GSF,N-GVE,N-GVE,3847,NULL,NULL
11440,μαγον,magon,magon,MAGIEr,magiër,MAGIEr,magiër,3097,N-ASM,N-ASM,N-AME,N-AME,3278,NULL,NULL
11441,ψευδοπροφητην,p<sup>s</sup>eudoprop<sup>h</sup>ētēn,pseudopropheten,VALS-VOOR-VERKLAARder,valse profeet,VALS-VOOR-VERKLAARder,valse profeet,5578,N-ASM,N-ASM,N-AME,N-AME,4600,NULL,NULL
11442,ιουδαιον,ioudaion,ioudaion,JUDA-er,Jood,JUDA-er,Jood,2453,A-ASM,A-ASM,A-AME,A-AME,2641,NULL,NULL
11443,βαριησους,bariēsous,bariesous,BARJEZUS,Barjezus,BARJEZUS,Barjezus,919,N-NSM,N-NSM,N-NME,N-NME,861,NULL,NULL
11444,ανθυπατω,ant<sup>h</sup>upatō,anthupato,INPLAATS-BOVEN-meest,stadhouder,INPLAATS-BOVEN-meest,stadhouder,446,N-DSM,N-DSM,N-DME,N-DME,439,NULL,NULL
11445,σεργιω,sergiō,sergio,SERGIUS,Sergius,SERGIUS,Sergius,4588,N-DSM,N-DSM,N-DME,N-DME,4786,NULL,NULL
11446,παυλω,paulō,paulo,PAULUS,Paulus,PAULUS,Paulus,3972,N-DSM,N-DSM,N-DME,N-DME,3981,NULL,NULL
11447,συνετω,sunetō,suneto,SAMEN-LATENd,intelligent<i>e</i>,SAMEN-LATENd,intelligente,4908,A-DSM,A-DSM,A-DME,A-DME,5119,NULL,NULL
11448,επεζητησεν,epezētēsen,epezetesen,<i>(hij)</i>-OP-ZOEK<i>t</i>,<i>(hij)</i> zoek<i>t</i> naar,(hij)-OP-ZOEKt,(hij) zoekt naar,1934,V-NNAI-3S,V-AAI-3S,W-GHAA-3E,W-Ao-Act-Ind-3E,1915,NULL,NULL
11449,ανθιστατο,ant<sup>h</sup>istato,anthistato,<i>(hij)</i>-INPLAATS-STOND<sup>๏</sup>,<i>(hij)</i> weerstond<sup>๏</sup>,(hij)-INPLAATS-STOND๏,(hij) weerstond๏,436,V-PIMI-3S,V-IMI-3S,W-VOMA-3E,W-Im-Med-Ind-3E,430,NULL,NULL
11450,ελυμας,elumas,elumas,ELYMAS,Elymas,ELYMAS,Elymas,1681,N-NSM,N-NSM,N-NME,N-NME,1614,NULL,NULL
11451,μαγος,magos,magos,MAGIEr,magiër,MAGIEr,magiër,3097,N-NSM,N-NSM,N-NME,N-NME,3278,NULL,NULL
11452,μεθερμηνευεται,met<sup>h</sup>ermēneuetai,methermeneuetai,<i>(hij)-is</i>-MET-INTERPRETEREN<i>de</i><sup>๏</sup>,<i>(hij) is</i> vertalen<i>de</i><sup>๏</sup>,(hij)-is-MET-INTERPRETERENde๏,(hij) is vertalende๏,3177,V-RIMI-3S,V-PPI-3S,W-HOMA-3E,W-Pr-Med-Ind-3E,3440,NULL,NULL
11453,διαστρεψαι,diastrep<sup>s</sup>ai,diastrepsai,DOOR-<i>te</i>-KEREN,<i>te</i> verdraaien,DOOR-te-KEREN,te verdraaien,1294,V-NNAN,V-AAN,W-GHAO,W-Ao-Act-Inf,1257,NULL,NULL
11454,ανθυπατον,ant<sup>h</sup>upaton,anthupaton,INPLAATS-BOVEN-meest,stadhouder,INPLAATS-BOVEN-meest,stadhouder,446,N-ASM,N-ASM,N-AME,N-AME,439,NULL,NULL
11455,παυλος,paulos,paulos,PAULUS,Paulus,PAULUS,Paulus,3972,N-NSM,N-NSM,N-NME,N-NME,3981,NULL,NULL
11456,δολου,dolou,dolou,BEDRIEG-,bedrog,BEDRIEG-,bedrog,1388,N-GSM,N-GSM,N-GME,N-GME,1352,NULL,NULL
11457,ραδιουργιας,r<sup>h</sup>adiourgias,rhadiourgias,BEHENDIG-WERK,bedriegerij,BEHENDIG-WERK,bedriegerij,4468,N-GSF,N-GSF,N-GVE,N-GVE,4655,NULL,NULL
11458,διαβολου,diabolou,diabolou,<i>van</i>-DOOR-WERPer,<i>van</i> tegenwerker,van-DOOR-WERPer,van tegenwerker,1228,A-GSM,A-GSM,A-GME,A-GME,1182,NULL,NULL
11459,εχθρε,ek<sup>h</sup>t<sup>h</sup>re,ekhthre,HEB-RUINEerder!,vijand!,HEB-RUINEerder!,vijand!,2190,A-VSM,A-VSM,A-VME,A-VME,1408,NULL,NULL
11460,δικαιοσυνης,dikaiosunēs,dikaiosunes,RECHTVAARDIG-SAMENheid,rechtvaardigheid,RECHTVAARDIG-SAMENheid,rechtvaardigheid,1343,N-GSF,N-GSF,N-GVE,N-GVE,1303,NULL,NULL
11461,παυση,pausē,pause,<i>(jij)-zal</i>-OPHOUDEN<i>de-zijn</i><sup>๏</sup>,<i>(jij) zal</i> ophouden<i>de zijn</i><sup>๏</sup>,jij-zal-OPHOUDENde-zijn,jij zal ophoudende zijn,3973,V-FIMI-2S,V-FDI-2S,W-TOMA-2E,W-Fu-Med-Ind-2E,3982,NULL,NULL
11462,διαστρεφων,diastrep<sup>h</sup>ōn,diastrephon,DOOR-KEREN<i>de-zijnde</i>,verdraaien<i>de zijnde</i>,DOOR-KERENde-zijnde,verdraaiende zijnde,1294,V-NIAP-NSM,V-PAP-NSM,W-GOAD-NME,W-Pr-Act-Ptc-NME,1257,NULL,NULL
11463,αχλυς,ak<sup>h</sup>lus,akhlus,WAAS,nevel,WAAS,nevel,887,N-NSF,N-NSF,N-NVE,N-NVE,19,NULL,NULL
