num,hebreeuws,text,BDB,pos
3277,יָעֵל,"ya`el, <i>yaw-ale'</i>;  from 'ya`al' (<a class=""SR"">H3276</a>); an ibex (as climbing):--wild goat.",1) mountain goat<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3276</a>,n-m
3278,יָעֵל,"Ya`el, <i>yaw-ale'</i>;  the same as 'ya`el' (<a class=""SR"">H3277</a>); Jael, a Canaanite:--Jael.","Jael = ""mountain goat""<br>1) the wife of Heber the Kenite who killed the general Sisera as he slept by driving a peg through his temples into the ground<br>Part of Speech: noun proper feminine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H3277</a>",n-pr-f
3279,יַעֲלָה,"Ya`ala', <i>yah-al-aw'</i>;  or Yaaalah {yah-al-aw'}; the same as 'ya`alah' (<a class=""SR"">H3280</a>) or direct from 'ya`al' (<a class=""SR"">H3276</a>); Jaala or Jaalah, one of the Nethinim:--Jaala, Jaalah.","Jaala or Jaalah = ""ascending""<br>1) the head of a family of the descendants of Solomon's slaves who returned from exile with Zerubbabel<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H3280</a> or direct from <a class='SR'>H3276</a>",
3280,יַעֲלָה,"ya`alah, <i>yah-al-aw'</i>;  feminine of 'ya`el' (<a class=""SR"">H3277</a>):--roe.",1) female mountain goat<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3277</a>,n-f
3281,יַעְלָם,"Ya`lam, <i>yah-lawm'</i>;  from '`alam' (<a class=""SR"">H5956</a>); occult; Jalam, an Edomite:--Jalam.","Jaalam = ""concealed""<br>1) an Edomite, descendant of Esau<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H5956</a>",n-pr-m
3282,יַעַן,"ya`an, <i>yah'-an</i>;  from an unused root meaning to pay attention; properly, heed; by implication, purpose (sake or account); used adverbially to indicate the reason or cause:--because (that), forasmuch (+ as), seeing then, + that, + wheras, + why.","1) because, therefore, because that, on account of (conjunction)<br>2) because of, on account of (preposition)<br>3) why (with interrogative pronoun) (preposition)<br>Part of Speech: see above in Definition<br>A Related Word by BDB/Strong's Number: from an unused root meaning to pay attention",conj
3283,יָעֵן,"ya`en, <i>yaw-ane'</i>;  from the same as 'ya`an' (<a class=""SR"">H3282</a>); the ostrich (probably from its answering cry:--ostrich.","1) ostrich<br><div class=""s15p"">1a) ceremonially unclean animal</div>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H3282</a>",n-f
3284,יַעֲנָה,"ya`anah, <i>yah-an-aw'</i>;  feminine of 'ya`en' (<a class=""SR"">H3283</a>), and meaning the same:--+ owl.","1) an unclean bird<br><div class=""s15p"">1a) owl, ostrich, literally translated as ""daughters of the owl""</div><div class=""s15p"">1b) perhaps an extinct bird, exact meaning unknown</div>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3283</a>",n-f
3285,יַעֲנַי,"Ya`anay, <i>yah-an-ah'ee</i>;  from the same as 'ya`en' (<a class=""SR"">H3283</a>); responsive; Jaanai, an Israelite:--Jaanai.","Jaanai = ""whom Jehovah answers""<br>1) a chief man in the tribe of Gad<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H3283</a>",n-pr-m
3286,יָעַף,"ya`aph, <i>yaw-af'</i>;  a primitive root; to tire (as if from wearisome flight):--faint, cause to fly, (be) weary (self).","1) to be or grow weary, be fatigued, be faint<br><div class=""s15p"">1a) (Qal) to be or grow weary, be fatigued, be faint</div><div class=""s15p"">1b) (Hophal) wearied (participle)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3287,יָעֵף,"ya`ph, <i>yaw-afe';</i>;  from 'ya`aph' (<a class=""SR"">H3286</a>); fatigued; figuratively, exhausted:--faint, weary.","1) faint, weary, fatigued<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3286</a>",a
3288,יְעָף,"yaph, <i>yeh-awf'</i>;  from 'ya`aph' (<a class=""SR"">H3286</a>); fatigue (adverb, utterly exhausted): -swiftly.e","1) weariness, fatigue, faintness<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3286</a>",n-m
3289,יָעַץ,"ya`ats, <i>yaw-ats'</i>;  a primitive root; to advise; reflexively, to deliberate or resolve:--advertise, take advise, advise (well), consult, (give, take) counsel(-lor), determine, devise, guide, purpose.","1) to advise, consult, give counsel, counsel, purpose, devise, plan<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to advise, counsel, give counsel, consult</div><div class=""s30p"">1a2) counsellor (participle)</div><div class=""s15p"">1b) (Niphal) to consult together, exchange counsel, deliberate, counsel together</div><div class=""s15p"">1c) (Hithpael) to conspire</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3290,יַעֲקֹב,"Ya`aqob, <i>yah-ak-obe'</i>;  from '`aqab' (<a class=""SR"">H6117</a>); heel-catcher (i.e. supplanter); Jaakob, the Israelitish patriarch:--Jacob.","Jacob = ""heel holder"" or ""supplanter""<br>1) son of Isaac, grandson of Abraham, and father of the 12 patriarchs of the tribes of Israel<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6117</a>",n-pr-m
3291,יַעֲקֹבָה,"Ya`aqobah, <i>yah-ak-o'-baw</i>;  from 'Ya`aqob' (<a class=""SR"">H3290</a>); Jaakobah, an Israelite: -Jaakobah.","Jaakobah = ""toward Jacob""<br>1) son of Simeon and grandson of Jacob<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3290</a>",n-pr-m
3292,יַעֲקָן,"Ya`aqan, <i>yah-ak-awn'</i>;  from the same as '`Aqan' (<a class=""SR"">H6130</a>); Jaakan, an Idumaean: -Jaakan. Compare 'Bney Ya`aqan' (<a class=""SR"">H1142</a>).","Jakan = ""let him oppress them""<br>1) an Edomite<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H6130</a>",n-pr-m
3293,יַעַר,"ya`ar, <i>yah'-ar</i>;  from an unused root probably meaning to thicken with verdure; a copse of bushes; hence, a forest; hence, honey in the comb (as hived in trees):--(honey-)comb, forest, wood.","1) forest, wood, thicket, wooded height<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from an unused root probably meaning to thicken with verdure",n-m
3294,יַעְרָה,"Ya`rah, <i>yah-raw'</i>;  a form of 'ya`arah' (<a class=""SR"">H3295</a>); Jarah, an Israelite:--Jarah.","Jarah = ""forested""<br>1) a descendant of Saul, son of Micah, great grandson of Mephibosheth<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: a form of <a class='SR'>H3295</a>",n-pr-m
3295,יַעֲרָה,"ya`arah, <i>yah-ar-aw'</i>;  feminine of 'ya`ar' (<a class=""SR"">H3293</a>), and meaning the same:--(honey-) comb, forest.","1) forest<br><div class=""s15p"">1a) honeycomb (metonymy)</div>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3293</a>",n-f
3296,יַעֲרֵי אֹרְגִים,"Ya`arey 'Orgiym, <i>yah-ar-ay' o-reg-eem'</i>;  from the plural of 'ya`ar' (<a class=""SR"">H3293</a>) and the masculine plural active participle of ''arag' (<a class=""SR"">H707</a>); woods of weavers; Jaare-Oregim, an Israelite:--Jaare-oregim.","Jaare-oregim = ""forests of weaver""<br>1) a man of Bethlehem, father of Elhanan the giant slayer and one of David's mighty warriors; also called 'Jair'<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from the plural of <a class='SR'>H3293</a> and the masculine plural active participle of 707",n-pr-m
3297,יְעָרִים,"Y`ariym, <i>yeh-aw-reem'</i>;  plural of 'ya`ar' (<a class=""SR"">H3293</a>); forests; Jearim, a place in Palestine:--Jearim. Compare 'Qiryath Y`ariym' (<a class=""SR"">H7157</a>).","Jearim = ""forests""<br>1) a hill on the northern boundary of Judah<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: plural of <a class='SR'>H3293</a>",n-pr-loc
3298,יַעֲרֶשְׁיָה,"Ya`areshyah, <i>yah-ar-esh-yaw'</i>;  from an unused root of uncertain signification and 'Yahh' (<a class=""SR"">H3050</a>); Jaareshjah, an Israelite:--Jaresiah.","Jaresiah = ""whom Jehovah nourishes""<br>1) a Benjamite, one of the descendants of Jehoram<br>Part of Speech: noun proper masculine<br>",n-pr-m
3299,יַעֲשׂוּ,"Ya`asuw, <i>yah-as-oo'</i>;  from '`asah' (<a class=""SR"">H6213</a>); they will do; Jaasu, an Israelite: -Jaasau.","Jaasau = ""they will do""<br>1) one of the descendants of Bani who took a foreign wife during the time of Ezra<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6213</a>",n-pr-m
3300,יַעֲשִׂיאֵל,"Ya`asiy'el, <i>yah-as-ee-ale'</i>;  from '`asah' (<a class=""SR"">H6213</a>) and ''el' (<a class=""SR"">H410</a>); made of God; Jaasiel, an Israelite:--Jaasiel, Jasiel.","Jasiel or Jaasiel = ""God is maker""<br>1) one of David's mighty warriors<br>2) a son of Abner and a chief of Benjamin<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6213</a> and <a class='SR'>H410</a>",n-pr-m
3301,יִפְדְּיָה,"Yiphdyah, <i>yif-deh-yaw'</i>;  from 'padah' (<a class=""SR"">H6299</a>) and 'Yahh' (<a class=""SR"">H3050</a>); Jah will liberate; Jiphdejah, an Israelite:--Iphedeiah.","Iphedeiah = ""Jehovah will redeem""<br>1) a descendant of Benjamin and of the family of Shashak<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6299</a> and <a class='SR'>H3050</a>",n-pr-m
3302,יָפָה,"yaphah, <i>yaw-faw'</i>;  a primitive root; properly, to be bright, i.e. (by implication) beautiful:--be beautiful, be (make self) fair(-r), deck.","1) to be bright, be beautiful, be handsome, be fair<br><div class=""s15p"">1a) (Qal) to be beautiful</div><div class=""s15p"">1b) (Piel) to beautify</div><div class=""s15p"">1c) (Pual) to be beautiful</div><div class=""s15p"">1d) (Hithpael) to beautify oneself</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3303,יָפֶה,"yapheh, <i>yaw-feh'</i>;  from 'yaphah' (<a class=""SR"">H3302</a>); beautiful (literally or figuratively):--+ beautiful, beauty, comely, fair(-est, one), + goodly, pleasant, well.","1) fair, beautiful, handsome<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3302</a>",a
3304,יְפֵה־פִיָּה,"ypheh-phiyah, <i>yef-eh' fee-yaw'</i>;  from 'yaphah' (<a class=""SR"">H3302</a>) by reduplication; very beautiful:--very fair.","1) pretty (reduplication with the force of the diminutive)<br><div class=""s15p"">1a) fair of mouth (literally)</div>2) (CLBL) very beautiful<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3302</a> by reduplication",a
3305,יָפוֹא,"Yapho, <i>yaw-fo'</i>;  or Yaphow (Ezra 3:7) {yaw-fo'}; from 'yaphah' (<a class=""SR"">H3302</a>); beautiful; Japho, a place in Palestine:--Japha, Joppa.","Joppa or Japho = ""beautiful""<br>1) a town on the southwest coast of Palestine in the territory of Dan; became primary port of Jerusalem during reign of Solomon<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3302</a>",
3306,יָפַח,"yaphach, <i>yaw-fakh'</i>;  a primitive root; properly, to breathe hard, i.e. (by implication) to sigh:--bewail self.","1) to breathe, breathe hard, puff<br><div class=""s15p"">1a) (Hithpael) to gasp for breath</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3307,יָפֵחַ,"yapheach, <i>yaw-fay'-akh</i>;  from 'yaphach' (<a class=""SR"">H3306</a>); properly, puffing, i.e. (figuratively) meditating:--such as breathe out.","1) a breathing out, exhaling, puffing out (substantive)<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3306</a>",a
3308,יֳפִי,"yophiy, <i>yof-ee'</i>;  from 'yaphah' (<a class=""SR"">H3302</a>); beauty:--beauty.",1) beauty<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3302</a>,n-m
3309,יָפִיעַ,"Yaphiya`, <i>yaw-fee'-ah</i>;  from 'yapha`' (<a class=""SR"">H3313</a>); bright; Japhia, the name of a Canaanite, an Israelite, and a place in Palestine:--Japhia.","Japhia = ""shining""<br>1) a town on the border of Zebulun and Issachar (noun proper locative)<br><div class=""s15p"">1a) perhaps modern 'Yafa'</div>2) the king of Lachish at the time of the conquest of Canaan by Joshua (noun proper masculine)<br>3) a son of David by a concubine (noun proper masculine)<br>Part of Speech: see above in Definition<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3313</a>",n-pr-loc n-pr-m
3310,יַפְלֵט,"Yaphlet, <i>yaf-late'</i>;  from 'palat' (<a class=""SR"">H6403</a>); he will deliver; Japhlet, an Israelite:--Japhlet.","Japhlet = ""he will deliver""<br>1) a descendant of Asher through Beriah<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6403</a>",n-pr-m
3311,יַפְלֵטִי,"Yaphletiy, <i>yaf-lay-tee'</i>;  patronymically from 'Yaphlet' (<a class=""SR"">H3310</a>); a Japhletite or descendant of Japhlet:--Japhleti.","Japhleti see Japhlet = ""let him escape""<br>1) descendants of Asher of the family of Japhlet who lived on the southwest border of Ephraim. Used as location<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: patronymically from <a class='SR'>H3310</a>",a
3312,יְפֻנֶּה,"Yphunneh, <i>yef-oon-neh'</i>;  from 'panah' (<a class=""SR"">H6437</a>); he will be prepared; Jephunneh, the name of two Israelites:--Jephunneh.","Jephunneh = ""He will be facing""<br>1) a Kenezite and father of Caleb the spy from the tribe of Judah<br>2) son of Jether and descendant of Asher<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6437</a>",n-pr-m
3313,יָפַע,"yapha`, <i>yaw-fah'</i>;  a primitive root; to shine:--be light, shew self, (cause to) shine (forth).","1) to shine, shine forth or out, cause to shine, send out beams<br><div class=""s15p"">1a) (Hiphil)</div><div class=""s30p"">1a1) to shine out, shine forth, send out beams</div><div class=""s30p"">1a2) to cause to shine</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3314,יִפְעָה,"yiph`ah, <i>yif-aw'</i>;  from 'yapha`' (<a class=""SR"">H3313</a>); splendor or (figuratively) beauty: -brightness.","1) splendour, brightness, shining<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3313</a>",n-f
3315,יֶפֶת,"Yepheth, <i>yeh'-feth</i>;  from 'pathah' (<a class=""SR"">H6601</a>); expansion; Jepheth, a son of Noah; also his posterity:--Japheth.","Japheth = ""opened""<br>1) the 3rd son of Noah whose descendants after the flood settled on the coastal lands of the Mediterranean spreading north into Europe and parts of Asia<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6601</a>",n-pr-m
3316,יִפְתָּח,"Yiphtach, <i>yif-tawkh'</i>;  from 'pathach' (<a class=""SR"">H6605</a>); he will open; Jiphtach, an Israelite; also a place in Palestine:--Jephthah, Jiphtah.","Jephthah or Jiphtah = ""he opens""<br>1) a son of Gilead and a concubine and the judge who defeated the Ammonites; after the victory because of a vow taken before the battle he sacrificed his daughter as a burnt offering (noun proper masculine)<br>2) a city in Judah (noun proper locative)<br>Part of Speech: see above in Definition<br>",n-pr-m n-pr-loc
3317,יִפְתַּח־אֵל,"Yiphtach-'el, <i>yif-tach-ale'</i>;  from 'pathach' (<a class=""SR"">H6605</a>) and ''el' (<a class=""SR"">H410</a>); God will open; Jiphtach-el, a place in Palestine:--Jiphthah-el.","Jiphthah-el = ""God opens""<br>1) a valley between Zebulun and Asher; location uncertain<br>Part of Speech: noun proper locative<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6605</a> and <a class='SR'>H410</a>",n-pr-loc
3318,יָצָא,"yatsa', <i>yaw-tsaw'</i>;  a primitive root; to go (causatively, bring) out, in a great variety of applications, literally and figuratively, direct and proxim.:--X after, appear, X assuredly, bear out, X  begotten, break out, bring forth (out, up), carry out, come (abroad, out, thereat, without), + be condemned, depart(-ing, -ure), draw forth, in the end, escape, exact, fail, fall (out), fetch forth (out), get away (forth, hence, out), (able to, cause to, let) go abroad (forth, on, out), going out, grow, have forth (out), issue out, lay (lie) out, lead out, pluck out, proceed, pull out, put away, be risen, X  scarce, send with commandment, shoot forth, spread, spring out, stand out, X still, X surely, take forth (out), at any time, X to (and fro), utter.","1) to go out, come out, exit, go forth<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to go or come out or forth, depart</div><div class=""s30p"">1a2) to go forth (to a place)</div><div class=""s30p"">1a3) to go forward, proceed to (to or toward something)</div><div class=""s30p"">1a4) to come or go forth (with purpose or for result)</div><div class=""s30p"">1a5) to come out of</div><div class=""s15p"">1b) (Hiphil)</div><div class=""s30p"">1b1) to cause to go or come out, bring out, lead out</div><div class=""s30p"">1b2) to bring out of</div><div class=""s30p"">1b3) to lead out</div><div class=""s30p"">1b4) to deliver</div><div class=""s15p"">1c) (Hophal) to be brought out or forth</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3319,יְצָא,"ytsa', <i>yets-aw'</i>;  (Aramaic) corresponding to 'yatsa'' (<a class=""SR"">H3318</a>):--finish.","1) (Shaphel) to bring to an end, finish, bring out to an end<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H3318</a>",v
3320,יָצַב,"yatsab, <i>yaw-tsab'</i>;  a primitive root; to place (any thing so as to stay); reflexively, to station, offer, continue:--present selves, remaining, resort, set (selves), (be able to, can, with-) stand (fast, forth, -ing, still, up).","1) to place, set, stand, set or station oneself, present oneself<br><div class=""s15p"">1a) (Hithpael) to station oneself, take one's stand, stand, present oneself, stand with someone</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3321,יְצַב,"ytseb, <i>yets-abe'</i>;  (Aramaic) corresponding to 'yatsab' (<a class=""SR"">H3320</a>); to be firm; hence, to speak surely:--truth.","1) (Pael) to make stand, make certain, gain certainty, know the truth, be certain<br>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: corresponding to <a class='SR'>H3320</a>",v
3322,יָצַג,"yatsag, <i>yaw-tsag'</i>;  a primitive root; to place permanently:--establish, leave, make, present, put, set, stay.","1) to place, set, establish<br><div class=""s15p"">1a) (Hiphil)</div><div class=""s30p"">1a1) to set, place</div><div class=""s30p"">1a2) to present</div><div class=""s30p"">1a3) to exhibit</div><div class=""s15p"">1b) (Hophal) to be stopped, be stayed, be detained</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3323,יִצְהָר,"yitshar, <i>yits-hawr'</i>;  from 'tsahar' (<a class=""SR"">H6671</a>); oil (as producing light); figuratively, anointing:--+ anointed oil.","1) fresh oil, shining (pure) oil<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6671</a>",n-m
3324,יִצְהָר,"Yitshar, <i>yits-hawr'</i>;  the same as 'yitshar' (<a class=""SR"">H3323</a>); Jitshar, an Israelite:--Izhar.","Izhar = ""shining oil""<br>1) son of Kohath, grandson of Levi, uncle of Moses and Aaron, and father of Korah; progenitor of the Izharites<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H3323</a>",n-pr-m
3325,יִצְהָרִי,"Yitshariy, <i>yits-haw-ree'</i>;  patronymically from 'Yitshar' (<a class=""SR"">H3324</a>); a Jitsharite or descendant of Jitshar:--Izeharites, Izharites.","Izharites or Izeharites = ""oil""<br>1) descendants of Izhar son of Kohath and grandson of Levi<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: patronymically from <a class='SR'>H3324</a>",a
3326,יָצוּעַ,"yatsuwa`, <i>yaw-tsoo'-ah</i>;  passive participle of 'yatsa`' (<a class=""SR"">H3331</a>); spread, i.e. a bed; (architecture) an extension, i.e. wing or lean-to (a single story or collectively): -bed, chamber, couch.","1) couch, bed<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: passive participle of <a class='SR'>H3331</a>",n-m
3327,יִצְחָק,"Yitschaq, <i>yits-khawk'</i>;  from 'tsachaq' (<a class=""SR"">H6711</a>); laughter (i.e. mochery); Jitschak (or Isaac), son of Abraham:--Isaac. Compare 'Yischaq' (<a class=""SR"">H3446</a>).","Isaac = ""he laughs""<br>1) son of Abraham by Sarah his wife and father of Jacob and Esau<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H6711</a>",n-pr-m
3328,יִצְחַר,"Yitschar, <i>yits-khar'</i>;  from the same as 'tsachar' (<a class=""SR"">H6713</a>); he will shine; Jitschar, an Israelite:--and Zehoar (from the margin).","Zohar = ""tawny""<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from the same as <a class='SR'>H6713</a>",n-pr-m
3329,יָצִיא,"yatsiy', <i>yaw-tsee'</i>;  from 'yatsa'' (<a class=""SR"">H3318</a>); issue, i.e. offspring:--those that came forth.","1) coming forth<br><div class=""s15p"">1a) offspring (substantive)</div>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3318</a>",a
3330,יַצִּיב,"yatstsiyb, <i>yats-tseeb'</i>;  (Aramaic) from 'ytseb' (<a class=""SR"">H3321</a>); fixed, sure; concretely, certainty:--certain(-ty), true, truth.","1) the truth (noun)<br>2) surely, reliably, truly (adjective)<br>3) reliable, true, certain, sure (adjective)<br>Part of Speech: see above in Definition<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3321</a>",a
3331,יַצַע,"yatsa`, <i>yaw-tsah'</i>;  a primitive root; to strew as a surface:--make (one's) bed, X  lie, spread.","1) to spread out, make a bed<br><div class=""s15p"">1a) (Hiphil) to lay, spread out</div><div class=""s15p"">1b) (Hophal) to be laid, be spread out</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3332,יָצַק,"yatsaq, <i>yaw-tsak'</i>;  a primitive root; properly, to pour out (transitive or intransitive); by implication, to melt or cast as metal; by extension, to place firmly, to stiffen or grow hard:--cast, cleave fast, be (as) firm, grow, be hard, lay out, molten, overflow, pour (out), run out, set down, stedfast.","1) to pour, flow, cast, pour out<br><div class=""s15p"">1a) (Qal)</div><div class=""s30p"">1a1) to pour, pour out</div><div class=""s30p"">1a2) to cast</div><div class=""s30p"">1a3) to flow</div><div class=""s15p"">1b) (Hiphil) to pour, pour out</div><div class=""s15p"">1c) (Hophal)</div><div class=""s30p"">1c1) to be poured</div><div class=""s30p"">1c2) cast, molten (participle)</div><div class=""s30p"">1c3) being firmly established (participle)</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3333,יְצֻקָה,"ytsukah, <i>yets-oo-kaw'</i>;  passive participle feminine of 'yatsaq' (<a class=""SR"">H3332</a>); poured out, i.e. run into a mould:--when it was cast.",1) a casting (of metal)<br>Part of Speech: noun feminine<br>A Related Word by BDB/Strong's Number: passive participle of <a class='SR'>H3332</a>,n-f
3334,יָצַר,"yatsar, <i>yaw-tsar'</i>;  a primitive root; to press (intransitive), i.e. be narrow; figuratively, be in distress:--be distressed, be narrow, be straitened (in straits), be vexed.","1) to bind, be distressed, be in distress, be cramped, be narrow, be scant, be in straits, make narrow, cause distress, beseige<br><div class=""s15p"">1a) (Qal) to suffer distress</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
3335,יָצַר,"yatsar, <i>yaw-tsar'</i>;  probably identical with 'yatsar' (<a class=""SR"">H3334</a>) (through the squeezing into shape); ((compare 'yatsa`' (<a class=""SR"">H3331</a>))); to mould into a form; especially as a potter; figuratively, to determine (i.e. form a resolution):--X earthen, fashion, form, frame, make(-r), potter, purpose.","1) to form, fashion, frame<br><div class=""s15p"">1a) (Qal) to form, fashion</div><div class=""s30p"">1a1) of human activity</div><div class=""s30p"">1a2) of divine activity</div><div class=""s45p"">1a2a) of creation</div><div class=""s60p"">1a2a1) of original creation</div><div class=""s60p"">1a2a2) of individuals at conception</div><div class=""s60p"">1a2a3) of Israel as a people</div><div class=""s45p"">1a2b) to frame, pre-ordain, plan (figuratively of divine) purpose of a situation)</div><div class=""s15p"">1b) (Niphal) to be formed, be created</div><div class=""s15p"">1c) (Pual) to be predetermined, be pre-ordained</div><div class=""s15p"">1d) (Hophal) to be formed</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: probably identical with <a class='SR'>H3334</a> (through the squeezing into shape), ([compare <a class='SR'>H3331</a>])",v
3336,יֵצֶר,"yetser, <i>yay'-tser</i>;  from 'yatsar' (<a class=""SR"">H3335</a>); a form; figuratively, conception (i.e. purpose):--frame, thing framed, imagination, mind, work.","1) form, framing, purpose, framework<br><div class=""s15p"">1a) form</div><div class=""s30p"">1a1) pottery</div><div class=""s30p"">1a2) graven image</div><div class=""s30p"">1a3) man (as formed from the dust)</div><div class=""s15p"">1b) purpose, imagination, device (intellectual framework)</div>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3335</a>",n-m
3337,יֵצֶר,"Yetser, <i>yay-tser</i>;  the same as 'yetser' (<a class=""SR"">H3336</a>); Jetser, an Israelite:--Jezer.","Jezer = ""forming""<br>1) the 3rd son of Naphtali and the founder of the family of Jezerites<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: the same as <a class='SR'>H3336</a>",n-pr-m
3338,יָצֻר,"yatsur, <i>yaw-tsoor'</i>;  passive participle of 'yatsar' (<a class=""SR"">H3335</a>); structure, i.e. limb or part:--member.ql","1) forms, members (of the body)<br>Part of Speech: noun masculine<br>A Related Word by BDB/Strong's Number: passive participle of <a class='SR'>H3335</a>",n-m
3339,יִצְרִי,"Yitsriy, <i>yits-ree'</i>;  from 'yatsar' (<a class=""SR"">H3335</a>); formative; Jitsri, an Israelite: -Isri.","Izri = ""my fashioner""<br>1) a leader of one of the Levitical sanctuary choirs<br>Part of Speech: noun proper masculine<br>A Related Word by BDB/Strong's Number: from <a class='SR'>H3335</a>",n-pr-m
3340,יִצְרִי,"Yitsriy, <i>yits-ree'</i>;  : patronymically from 'Yetser' (<a class=""SR"">H3337</a>); a Jitsrite (collectively) or descendants of Jetser:--Jezerites.","Jezerites = ""imagination: form: purpose""<br>1) descendants of Jezer the son of Naphtali<br>Part of Speech: adjective<br>A Related Word by BDB/Strong's Number: patronymically from <a class='SR'>H3337</a>",a
3341,יָצַת,"yatsath, <i>yaw-tsath'</i>;  a primitive root; to burn or set on fire; figuratively, to desolate:--burn (up), be desolate, set (on) fire ((fire)), kindle.","1) to kindle, burn, set on fire<br><div class=""s15p"">1a) (Qal) to kindle</div><div class=""s15p"">1b) (Niphal)</div><div class=""s30p"">1b1) to be kindled</div><div class=""s30p"">1b2) to be left desolate</div><div class=""s15p"">1c) (Hiphil) to set on fire, kindle</div>Part of Speech: verb<br>A Related Word by BDB/Strong's Number: a primitive root",v
