id,Gri,translit,GriZ,stamgegevens,parent,vergelijk
357,-δερβ-,-derb-,-derb-,DERBE,NULL,NULL
358,-δεσπ-,-desp-,-desp-,EIGENAAR,NULL,NULL
359,-δευ-,-deu-,-deu-,HIERHEEN,NULL,NULL
360,-δεχ-/-δεκ-/-δοχ-,-dek<sup>h</sup>-/-dek-/-dok<sup>h</sup>-,-dec-/-dek-/-doc-,ONTVANGEN,NULL,NULL
361,-δηλ-,-dēl-,-dhl-,DUIDELIJK,NULL,NULL
362,-δημ-,-dēm-,-dhm-,BEVOLKING,NULL,NULL
363,δημασ,dēmas,dhmas,"DEMAS (wellicht van <span class=""Greek"">-dhm-</span> BEVOLKING)",NULL,362
364,δημητριος,dēmētrios,dhmhtrios,"DEMETRIOS (wellicht van <span class=""Greek"">-dhm-+-mhtr-</span> BEVOLKING-MOEDER)",NULL,362
365,δηναριον,dēnarion,dhnarion,DENARION (LAT),NULL,NULL
366,-δι-,-di-,-di-,ZEUS,NULL,NULL
367,-δια-/-δι-,-dia-/-di-,-dia-/-di-,DOOR,NULL,NULL
368,-δι-,-di-,-di-,DOOR (voor klinkers),367,NULL
369,-δικ-,-dik-,-dik-,RECHTVAARDIG,NULL,NULL
370,-δικτυ-,-diktu-,-diktu-,NET,NULL,NULL
371,διονυσιος,dionusios,dionusios,DIONYSIOS,NULL,NULL
372,-διψ-,-dip<sup>s</sup>-,-diy-,DORST,NULL,NULL
373,-διω-,-diō-,-diw-,ACHTERVOLGEN,NULL,NULL
374,-δο-/-δω-,-do-/-dō-,-do-/-dw-,GEVEN,NULL,NULL
375,-δοκ-/-δογ-/-δοξ-,-dok-/-dog-/-dok<sup>s</sup>-,-dok-/-dog-/-dox-,SCHIJN,NULL,NULL
376,-δοκιμ-,-dokim-,-dokim-,SCHIJN,375,NULL
377,-δογ-,-dog-,-dog-,SCHIJN,375,NULL
378,-δοξ-,-dok<sup>s</sup>-,-dox-,SCHIJN,375,NULL
379,-δοκ-,-dok-,-dok-,BALK,NULL,NULL
380,-δολ-,-dol-,-dol-,BEDRIEGEN,NULL,NULL
381,-δομ-/-δωμ-,-dom-/-dōm-,-dom-/-dwm-,BOUW,NULL,NULL
382,-δορ-,-dor-,-dor-,SPEER,NULL,NULL
383,-δορκ-,-dork-,-dork-,DORCAS,NULL,NULL
384,-δουλ-,-doul-,-doul-,SLAAF,NULL,NULL
385,-δρα-,-dra-,-dra-,GRIJPEN,NULL,NULL
386,-δρακ-,-drak-,-drak-,DRAAK,NULL,NULL
387,-δραμ-/-δρομ-,-dram-/-drom-,-dram-/-drom-,RENNEN,NULL,NULL
388,-δρεπαν-,-drepan-,-drepan-,SIKKEL,NULL,NULL
389,δρουσιλλα,drousilla,drousilla,DROUSILLA,NULL,NULL
390,-δυ-/-δω-/-δι-/-δευ-,-du-/-dō-/-di-/-deu-,-du-/-dw-/-di-/-deu-,TWEE,NULL,NULL
391,-δυ-,-du-,-du-,SLIPPEN,NULL,NULL
392,-δυν-,-dun-,-dun-,VERMOGEN,NULL,NULL
393,-δυσ-,-dus-,-dus-,ZIEK,NULL,NULL
394,"-ε-/-ει-/-ι-, -ου-/-ω-","-e-/-ei-/-i-, -ou-/-ō-","-e-/-ei-/-i-, -ou-/-w-","ZIJN, ZIJNDE (als tussenvoegsel in werkwoorden <span class=""Greek"">-e-</span> geeft het het ZIJN aan van wat de wortel betekent)",NULL,NULL
395,-ει-,-ei-,-ei-,ZIJN,394,NULL
396,-ειν-,-ein-,-ein-,te-ZIJN,394,NULL
397,-εστι-,-esti-,-esti-,ZIJN,394,NULL
398,-ουσι-,-ousi-,-ousi-,ZIJNDE,394,NULL
399,-ον-/-ων-,-on-/-ōn-,-on-/-wn-,ZIJNDE,394,NULL
400,-ε-,-e-,-e-,KLEED,NULL,NULL
401,-εα-,-ea-,-ea-,"LATEN (verwant aan <span class=""Greek"">-ih-</span> LATEN)",NULL,616
402,εα,ea,ea,HA!,NULL,NULL
403,εβερ,eber,eber,HEBER,NULL,NULL
404,-εβραι-,-ebrai-,-ebrai-,HEBREEUWS (HEB),NULL,NULL
405,-εγγ-,-egg-,-egg-,NABIJ,NULL,NULL
406,-εγγυ-,-eggu-,-eggu-,ONDER+BORGTOCHT,NULL,NULL
407,-εγειρ-/-εγερ-/-ηγορ-,-egeir-/-eger-/-ēgor-,-egeir-/-eger-/-hgor-,WEKKEN,NULL,NULL
408,εγω,egō,egw,IK,NULL,NULL
409,-εδαφ-,-edap<sup>h</sup>-,-edaf-,PLAT,NULL,NULL
410,-εδρ-,-edr-,-edr-,VESTIGEN,NULL,NULL
411,εζεκιας,ezekias,ezekias,HIZKIA,NULL,NULL
412,-εθ-/-ηθ-/-οθ-,-et<sup>h</sup>-/-ēt<sup>h</sup>-/-ot<sup>h</sup>-,-eq-/-hq-/-oq-,GEWOON,NULL,NULL
413,-εθν-,-et<sup>h</sup>n-,-eqn-,NATIE,NULL,NULL
414,-ει-,-ei-,-ei-,INDIEN,NULL,415
415,-εικ-,-eik-,-eik-,SIMULEREN,NULL,618
416,-εικοσι-,-eikosi-,-eikosi-,TWINTIG,NULL,NULL
417,-ειλ-/-ελ-,-eil-/-el-,-eil-/-el-,WERVEL,NULL,NULL
418,-ειρην-,-eirēn-,-eirhn-,VREDE,NULL,NULL
419,-εισ-/-εσ-/-ε-,-eis-/-es-/-e-,-eis-/-es-/-e-,NAARBINNEN,NULL,1239
420,-εσ-,-es-,-es-,NAARBINNEN,419,NULL
421,-σ-,-s-,-s-,NAARBINNEN,419,NULL
422,-ειτα-,-eita-,-eita-,DAARNA,NULL,NULL
423,-εκ-/-κ-/-εξ-,-ek-/-k-/-ek<sup>s</sup>-,-ek-/-k-/-ex-,UIT,NULL,NULL
424,-εξ-,-ek<sup>s</sup>-,-ex-,UIT,423,NULL
425,-εκαστ-,-ekast-,-ekast-,ELK,NULL,NULL
426,-εκατον-,-ekaton-,-ekaton-,HONDERD,NULL,NULL
427,-ελαι-,-elai-,-elai-,OLIJF,NULL,NULL
428,-ελαM-,-elaM-,-elaM-,ELAM,NULL,NULL
429,-ελα-,-ela-,-ela-,INFERIEUR,NULL,NULL
430,-ελα-,-ela-,-ela-,VOORTDRIJVEN,NULL,NULL
431,-ελαφ-,-elap<sup>h</sup>-,-elaf-,LICHT (van gewicht),NULL,NULL
432,-ελε-,-ele-,-ele-,BARMHARTIG (zie <span class='Greek'>-ile-</span> VERZOENEN),NULL,621
433,ελεαζαρ,eleazar,eleazar,ELEAZAR,NULL,NULL
434,-ελεγ-,-eleg-,-eleg-,SCHULD+AANTONEN,NULL,NULL
435,-ελευθ-,-eleut<sup>h</sup>-,-eleuq-,VRIJ,NULL,NULL
436,-ελεφα-,-elep<sup>h</sup>a-,-elefa-,IVOOR,NULL,NULL
437,ελιεζερ,eliezer,eliezer,ELIEZER (HEB),NULL,NULL
438,ελιακειμ,eliakeim,eliakeim,ELJAKIM (HEB),NULL,NULL
439,ελισσαιος,elissaios,elissaios,ELISA (HEB),NULL,NULL
440,ελεισαβετ,eleisabet,eleisabet,ELISABETH (HEB),NULL,NULL
441,ελιουδ,elioud,elioud,ELIUD (HEB),NULL,NULL
442,ελκ-,elk-,elk-,TREKKEN,NULL,NULL
443,-ελλ-,-ell-,-ell-,GRIEK,NULL,NULL
444,ελμαδαμ,elmadam,elmadam,ELMADAM,NULL,NULL
445,-ελπι-,-elpi-,-elpi-,VERWACHTEN,NULL,NULL
446,ελυμας,elumas,elumas,ELYMAS,NULL,NULL
447,ελωι,elōi,elwi,ELOI (ARAM),NULL,NULL
448,-εμ-,-em-,-em-,BRAKEN,NULL,NULL
449,εμμανουηλ,emmanouēl,emmanouhl,IMMANUEL (HEB),NULL,NULL
451,εμον,emon,emon,MIJN,NULL,NULL
450,εμμαους,emmaous,emmaus,EMMAUS,NULL,NULL
452,εμμορ,emmor,emmor,HEMOR (HEB),NULL,NULL
453,-εν-/-εμ-/-εγ-,-en-/-em-/-eg-,-en-/-em-/-eg-,IN,NULL,NULL
454,-εν-,-en-,-en-,ÉÉN,NULL,NULL
455,-εν-,-en-,-en-,NEGEN,NULL,NULL
456,-εννε-,-enne-,-enne-,PERPLEX,NULL,NULL
457,ενως,enōs,enws,ENOS (HEB),NULL,NULL
458,ενωχ,enōk<sup>h</sup>,enwc,HENOCH (HEB),NULL,NULL
459,-εξ-/-εκ-,-ek<sup>s</sup>-/-ek-,-ex-/-ek-,ZES,NULL,NULL
460,-εορτ-,-eort-,-eort-,FESTIVAL,NULL,NULL
461,-επ-/-ειπ-/-π-,-ep-/-eip-/-p-,-ep-/-eip-/-p-,LEG(zeg)GEN,837,NULL
462,επαφρας,epap<sup>h</sup>ras,epafras,EPAFRAS,NULL,NULL
463,-επι-/-επ-/-εφ-,-epi-/-ep-/-ep<sup>h</sup>-,-epi-/-ep-/-ef-,OP,NULL,NULL
464,-επ-,-ep-,-ep-,OP,463,NULL
465,-εφ-,-ep<sup>h</sup>-,-ef-,OP,463,NULL
466,-επτ-/-εβδ-,-ept-/-ebd-,-ept-/-ebd-,ZEVEN,NULL,NULL
467,εραστος,erastos,erastos,ERASTUS,NULL,NULL
468,-εργ-/-ργ-/-ουργ-/ωργ-,-erg-/-rg-/-ourg-/ōrg-,-erg-/-rg-/-ourg-/wrg-,WERK,NULL,NULL
469,-ερε-/-ηρε-,-ere-/-ēre-,-ere-/-hre-,ROEIEN,NULL,NULL
470,-ερειδ-,-ereid-,-ereid-,STOK,NULL,NULL
471,-ερευγ-,-ereug-,-ereug-,ERUIT+GOOIEN,NULL,NULL
472,-ερευν-,-ereun-,-ereun-,VORSEN,NULL,NULL
473,-ερημ-,-erēm-,-erhm-,DESOLAAT,NULL,NULL
474,-ερι-,-eri-,-eri-,WOL,NULL,NULL
475,-ερι-/-ερε-/-ηρε-,-eri-/-ere-/-ēre-,-eri-/-ere-/-hre-,TWIST,NULL,NULL
476,-εριφ-,-erip<sup>h</sup>-,-erif-,BOK,NULL,NULL
477,ερμας,ermas,ermas,HERMAS,NULL,NULL
478,-ερημ-/-ερμα-,-erēm-/-erma-,-erhm-/-erma-,VERTALEN,NULL,NULL
479,-ερπετ-,-erpet-,-erpet-,REPTIEL,NULL,NULL
480,-ερυθ-,-erut<sup>h</sup>-,-eruq-,ROOD,NULL,NULL
481,-ερχ-/-ηλ-/-ελ-,-erk<sup>h</sup>-/-ēl-/-el-,-erc-/-hl-/-el-,KOMEN,NULL,NULL
482,-εσθ-/-στ-,-est<sup>h</sup>-/-st-,-esq-/-st-,NUTTIGEN,NULL,NULL
483,εσλει,eslei,eslei,ESLI (HEB),NULL,NULL
484,-εσπερ-,-esper-,-esper-,AVOND+STER,NULL,NULL
485,εσρωμ,esrōm,esrwm,HESRON (HEB),NULL,NULL
486,-εσχατ-,-esk<sup>h</sup>at-,-escat-,LAATST,NULL,NULL
487,-ετ-,-et-,-et-,JAAR,NULL,NULL
488,εταιρ-,etair-,etair-,MAKKER,NULL,NULL
489,-εταζ-,-etaz-,-etaz-,ONDERVRAGEN,NULL,NULL
490,-ετερ-,-eter-,-eter-,VERSCHILLEND,NULL,NULL
491,-ετι-,-eti-,-eti-,NOG,NULL,NULL
492,-ετοιμ-,-etoim-,-etoim-,GEREED,NULL,NULL
493,-ευ-,-eu-,-eu-,Komt als tussenvoegsel tussen stam en uitgang voor en benadrukt slechts de actie die het woord aangeeft,NULL,NULL
494,-ευ-,-eu-,-eu-,WEL,NULL,NULL
495,ευα,eua,eua,EVA (HEB),NULL,NULL
496,-ευδ-,-eud-,-eud-,RUSTEN,NULL,NULL
497,-ευνουχ-,-eunouk<sup>h</sup>-,-eunouc-,ONTMAND,NULL,NULL
498,-ευρ-,-eur-,-eur-,VINDEN,NULL,NULL
499,ευρ-ακλυλων,eur-aklulōn,eur-aklulwn,OOST+NOORD+ER (LAT),NULL,NULL
500,ευφρατης,eup<sup>h</sup>ratēs,eufraths,EUFRAAT (HEB),NULL,NULL
501,-εφεσ-,-ep<sup>h</sup>es-,-efes-,EFEZE,NULL,NULL
502,εφραιμ,ep<sup>h</sup>raim,efraim,EFRAIM (HEB),NULL,NULL
503,εφφαθα,ep<sup>h</sup>p<sup>h</sup>at<sup>h</sup>a,effaqa,EFFATHA (ARAM),NULL,NULL
504,-εχ-/-χ-/-οχ-/-ουχ-/-ωχ-/-εκ-/-εξ-,-ek<sup>h</sup>-/-k<sup>h</sup>-/-ok<sup>h</sup>-/-ouk<sup>h</sup>-/-ōk<sup>h</sup>-/-ek-/-ek<sup>s</sup>-,-ec-/-c-/-oc-/-ouc-/-wc-/-ek-/-ex-,HEBBEN,NULL,NULL
505,εχθες,ek<sup>h</sup>t<sup>h</sup>es,ecqes,GISTEREN,NULL,NULL
506,-εχιδ-,-ek<sup>h</sup>id-,-ecid-,ADDER,NULL,NULL
507,εως,eōs,ews,TOT,NULL,NULL
508,-ζα-/-ζη-/-ζω-,-za-/-zē-/-zō-,-za-/-zh-/-zw-,LEVEN,NULL,NULL
509,ζαβουλων,zaboulōn,zaboulwn,ZEBULON (HEB),NULL,NULL
510,ζακχαιος,zakk<sup>h</sup>aios,zakcaios,ZACHEUS (HEB),NULL,NULL
511,ζαρα,zara,zara,ZERAH (HEB),NULL,NULL
512,ζαχαριας,zak<sup>h</sup>arias,zacarias,ZACHARIAS (HEB),NULL,NULL
513,-ζε-/-ζη-/-δι-,-ze-/-zē-/-di-,-ze-/-zh-/-di-,ZIEDEN,NULL,NULL
515,ζεβεδαιος,zebedaios,zebedaios,ZEBEDEUS (HEB),NULL,NULL
516,-ζημι-,-zēmi-,-zhmi-,BOETE+VERLIES,NULL,NULL
517,ζηνας,zēnas,zhnas,ZENAS,NULL,NULL
518,-ζητ-,-zēt-,-zht-,ZOEKEN,NULL,NULL
519,-ζιζανι-,-zizani-,-zizani-,DOLIK,NULL,NULL
520,ζοροβαβελ,zorobabel,zorobabel,ZERUBABEL (HEB),NULL,NULL
521,-ζοφ-,-zop<sup>h</sup>-,-zof-,PIKDONKER,NULL,NULL
522,-ζυγ-/-ζευγ-/-ζευκ-,-zug-/-zeug-/-zeuk-,-zug-/-zeug-/-zeuk-,JUK,NULL,NULL
523,-ζυμ-,-zum-,-zum-,ZUUR,NULL,NULL
524,-ζων-,-zōn-,-zwn-,GORDEN,NULL,NULL
525,-η-,-ē-,-h-,OF,NULL,NULL
526,-ηγυρ-/-αγυρ-,-ēgur-/-agur-,-hgur-/-agur-,NODEN,NULL,NULL
527,-ηδ-/-αδ-/-α-,-ēd-/-ad-/-a-,-hd-/-ad-/-a-,GENIETEN,NULL,NULL
528,ηδη,ēdē,hdh,REEDS,NULL,NULL
529,-ηκ-,-ēk-,-hk-,AANKOMEN (vergelijk <span class='Greek'>-ik-</span> REIKEN),NULL,618
530,-ηλ-,-ēl-,-hl-,NAGEL,NULL,NULL
531,ηλι,ēli,hli,ELI (HEB),NULL,NULL
532,-ηλι-/-ειλ-,-ēli-/-eil-,-hli-/-eil-,ZON,NULL,NULL
533,ηλιας,ēlias,hlias,ELIA (HEB),NULL,NULL
534,-ηλικ-,-ēlik-,-hlik-,VOL+ONTWIKKELD,NULL,NULL
535,-ημ-,-ēm-,-hm-,WIJ,NULL,NULL
536,-ημ-/-ημερ-,-ēm-/-ēmer-,-hm-/-hmer-,DAG,NULL,NULL
538,-ηπι-,-ēpi-,-hpi-,ZACHTAARDIG,NULL,NULL
539,ηρ,ēr,hr,ER (HEB),NULL,NULL
541,ηρωδ-,ērōd-,hrwd-,HERODES,NULL,NULL
542,ησαιας,ēsaias,hsaias,JESAJA (HEB),NULL,NULL
543,ησαυ,ēsau,hsau,EZAU (ARAB),NULL,NULL
544,-ησυχ-,-ēsuk<sup>h</sup>-,-hsuc-,RUST,NULL,NULL
545,-ησσ-/-ηττ-,-ēss-/-ētt-,-hss-/-htt-,VERMINDEREN,NULL,NULL
546,-ηχ-,-ēk<sup>h</sup>-,-hc-,WEERKLINKEN,NULL,NULL
547,θ,t<sup>h</sup>,q,"teken van passiviteit. Ook gebruikt voor geaspireerde dentalen van <span class=""Greek"">t,d</span>.",NULL,NULL
548,-θα-/-τα-/-θην-/-θνη-,-t<sup>h</sup>a-/-ta-/-t<sup>h</sup>ēn-/-t<sup>h</sup>nē-,-qa-/-ta-/-qhn-/-qnh-,STERVEN,NULL,NULL
549,-θνη-,-t<sup>h</sup>nē-,-qnh-,STERVEN,548,NULL
550,-τα-,-ta-,-qnh-,STERVEN,548,NULL
551,θαδδαιος,t<sup>h</sup>addaios,qaddaios,THADDEUS (HEB),NULL,NULL
552,-θAL-,-t<sup>h</sup>AL-,-qAL-,BLOEIEN,NULL,NULL
553,-θAL-,-t<sup>h</sup>AL-,-qAL-,BROEDEN,NULL,NULL
554,-θALασ-,-t<sup>h</sup>ALas-,-qALas-,ZEE,NULL,NULL
555,θAμαρ,t<sup>h</sup>Amar,qAmar,THAMAR (HEB),NULL,NULL
556,-θAμβ-,-t<sup>h</sup>Amb-,-qAmb-,ONTZAG,NULL,NULL
557,θαρα,t<sup>h</sup>ara,qara,THARA (misschien HEB),NULL,NULL
558,-θαρ-,-t<sup>h</sup>ar-,-qar-,MOED,NULL,NULL
559,-θαυμα-,-t<sup>h</sup>auma-,-qauma-,VERBAZEN,NULL,NULL
560,-θε-/-θη-/-θα-/-θυ-/-θεα-/-θεν-,-t<sup>h</sup>e-/-t<sup>h</sup>ē-/-t<sup>h</sup>a-/-t<sup>h</sup>u-/-t<sup>h</sup>ea-/-t<sup>h</sup>en-,-qe-/-qh-/-qa-/-qu-/-qea-/-qen-,PLAATS,NULL,NULL
561,-θεα-,-t<sup>h</sup>ea-,-qea-,PLAATS,560,NULL
562,-θε-,-t<sup>h</sup>e-,-qe-,PLAATS,560,NULL
563,-θεν-,-t<sup>h</sup>en-,-qen-,PLAATS,560,NULL
564,-θελ-,-t<sup>h</sup>el-,-qel-,WIL,NULL,NULL
565,-θερ-,-t<sup>h</sup>er-,-qer-,WARM,NULL,NULL
566,θεσσαλονικ-,t<sup>h</sup>essalonik-,qessalonik-,TESSALONICA,NULL,NULL
567,θευδας,t<sup>h</sup>eudas,qeudas,THEUDAS,NULL,NULL
568,-θηλ-,-t<sup>h</sup>ēl-,-qhl-,TEPEL,NULL,NULL
569,-θηρ-,-t<sup>h</sup>ēr-,-qhr-,WILD+BEEST,NULL,NULL
570,-θι-,-t<sup>h</sup>i-,-qi-,STAPEL,NULL,NULL
571,-θιγ-,-t<sup>h</sup>ig-,-qig-,AANRAKEN,NULL,NULL
572,-θλα-,-t<sup>h</sup>la-,-qla-,VERBRIJZELEN,NULL,NULL
573,-θλιβ-/-θλιψ-,-t<sup>h</sup>lib-/-t<sup>h</sup>lip<sup>s</sup>-,-qlib-/-qliy-,DRUKKEN,NULL,NULL
574,θολομαιος,t<sup>h</sup>olomaios,qolomaios,THOLOMEUS (HEB),NULL,NULL
575,-θορυβ-,-t<sup>h</sup>orub-,-qorub-,TUMULT,NULL,NULL
576,-θρ-,-t<sup>h</sup>r-,-qr-,RUINE,NULL,NULL
577,-θραυ-,-t<sup>h</sup>rau-,-qrau-,STUKSLAAN,NULL,NULL
578,-θρην-,-t<sup>h</sup>rēn-,-qrhn-,WEEKLAGEN,NULL,NULL
579,-θρησκ-,-t<sup>h</sup>rēsk-,-qrhsk-,RITUEEL,NULL,NULL
580,-θριαμβ-,-t<sup>h</sup>riamb-,-qriamb-,TRIOMF,NULL,NULL
581,-θριξ-/-τριχ-,-t<sup>h</sup>rik<sup>s</sup>-/-trik<sup>h</sup>-,-qrix-/-tric-,HAAR,NULL,NULL
582,-θρο-,-t<sup>h</sup>ro-,-qro-,ALARM,NULL,NULL
583,-θρομβ-,-t<sup>h</sup>romb-,-qromb-,GERONNEN,NULL,NULL
584,-θρον-,-t<sup>h</sup>ron-,-qron-,TROON,NULL,NULL
586,-θυ-/-θυμ-,-t<sup>h</sup>u-/-t<sup>h</sup>um-,-qu-/-qum-,GEMOED,NULL,NULL
585,-θυ-,-t<sup>h</sup>u-,-qu-,OFFER,NULL,NULL
587,θυατειρα,t<sup>h</sup>uateira,quateira,THYATIRA,NULL,NULL
588,-θυγατ-,-t<sup>h</sup>ugat-,-qugat-,DOCHTER,NULL,NULL
589,-θυιν-,-t<sup>h</sup>uin-,-quin-,CITROEN,NULL,NULL
590,-θυρ-,-t<sup>h</sup>ur-,-qur-,DEUR,NULL,NULL
591,-θωι-,-t<sup>h</sup>ōi-,-qwi-,GESTRAFT,NULL,NULL
592,θωμας,t<sup>h</sup>ōmas,qwmas,THOMAS (HEB),NULL,NULL
593,-θωρακ-,-t<sup>h</sup>ōrak-,-qwrak-,KURAS,NULL,NULL
594,-ια-,-ia-,-ia-,HELEN,NULL,NULL
595,IAEIROς,IAEIROs,IAEIROs,JAIRUS (HEB),NULL,NULL
596,IAκωβ,IAkōb,IAkwb,JACOB (HEB),NULL,NULL
597,IAμβρης,IAmbrēs,IAmbrhs,JAMBRES,NULL,NULL
598,IAννα,IAnna,IAnna,JANNAI,NULL,NULL
599,Iαννης,Iannēs,IAnnes,JANNES,NULL,NULL
600,-IAπ-/-απ-,-IAp-/-ap-,-IAp-/-ap-,SMIJT,NULL,NULL
601,ιαρεδ,iared,iared,JERED (HEB),NULL,NULL
602,-ιασπι-,-iaspi-,-iaspi-,JASPIS,NULL,NULL
603,ιασων,iasōn,iaswn,JASON,NULL,NULL
604,-ιδ-/-ειδ-/-ι-,-id-/-eid-/-i-,-id-/-eid-/-i-,WAARNEMEN,NULL,NULL
605,-ιδ-,-id-,-id-,ZWEET,NULL,NULL
606,-ιδι-,-idi-,-idi-,EIGEN,NULL,NULL
607,ιδουμαια,idoumaia,idoumaia,IDUMEA (HEB),NULL,NULL
608,ιεζαβελ,iezabel,iezabel,IZEBEL (HEB),NULL,NULL
609,-ιερ-,-ier-,-ier-,GEWIJD,NULL,NULL
610,ιερεμιας,ieremias,ieremias,JEREMIA (HEB),NULL,NULL
611,-ιερουσαλ-,-ierousal-,-ierousal-,JERUZALEM (HEB),NULL,NULL
612,ιεριχω,ierik<sup>h</sup>ō,iericw,JERICHO (HEB),NULL,NULL
613,ιεσσαι,iessai,iessai,ISAI (HEB),NULL,NULL
614,ιεφθαε,iep<sup>h</sup>t<sup>h</sup>ae,iefqae,JEFTA (HEB),NULL,NULL
615,ιεχονιας,iek<sup>h</sup>onias,ieconias,JECHONIA (HEB),NULL,NULL
616,-ιη-/-ε-,-iē-/-e-,-ih-/-e-,-LATEN,NULL,NULL
617,-ιησους,-iēsous,-ihsous,JEZUS (HEB),NULL,NULL
618,-ικ-/-ιξ-,-ik-/-ik<sup>s</sup>-,-ik-/-ix-,REIKEN (vergelijk <span class='Greek'>-hk-</span> AANKOMEN),NULL,NULL
619,-ικμ-,-ikm-,-ikm-,VOCHT,NULL,NULL
620,ικονιον,ikonion,ikonion,IKONIUM,NULL,NULL
621,ιλ-,il-,il-,VERZOENEN,NULL,NULL
622,-ιλαρ-,-ilar-,-ilar-,VROLIJK,NULL,NULL
623,ιλλυρικον,illurikon,illurikon,ILLYRIE,NULL,NULL
624,-ιμ-,-im-,-im-,RIEM,NULL,NULL
625,ινα,ina,ina,(OP)DAT,NULL,NULL
626,ιοππη,ioppē,iopph,JOPPE (HEB),NULL,NULL
627,ιορδανης,iordanēs,iordanhs,JORDAAN (HEB),NULL,NULL
628,-ιο-,-io-,-io-,GIF,NULL,NULL
629,ιουδα-,iouda-,iouda-,JUDA,NULL,NULL
630,ιουλι-,iouli-,iouli-,JULI,NULL,NULL
631,ιουνιας,iounias,iounias,JUNIAS,NULL,NULL
632,ιουστος,ioustos,ioustos,JUSTUS (LAT),NULL,NULL
633,-ιππ-,-ipp-,-ipp-,PAARD,NULL,NULL
634,-ιρι-,-iri-,-iri-,REGENBOOG,NULL,NULL
635,-ισ-,-is-,-is-,EENDER,NULL,NULL
636,ισαακ,isaak,isaak,ISAAK (HEB),NULL,NULL
637,ισσαχαρ,issak<sup>h</sup>ar,issacar,ISSASCHAR (HEB),NULL,NULL
638,ισκαριωτης,iskariōtēs,iskariwths,ISKARIOT (HEB),NULL,NULL
639,ισραηλ,israēl,israhl,ISRAEL (HEB),NULL,NULL
640,-ισχυ-,-isk<sup>h</sup>u-,-iscu-,STERK,NULL,NULL
641,ιταλ-,ital-,ital-,ITALIE,NULL,NULL
642,ιτουραια,itouraia,itouraia,ITUREA,NULL,NULL
643,-ιχθυ-,-ik<sup>h</sup>t<sup>h</sup>u-,-icqu-,VIS,NULL,NULL
644,-ιχν-,-ik<sup>h</sup>n-,-icn-,"SPOOR (vergelijk met <span class=""Greek"">-ik-</span> REIKEN)",NULL,618
645,ιωαθαμ,iōat<sup>h</sup>am,iwaqam,JOTHAM (HEB),NULL,NULL
646,ιωαν-,iōan-,iwan-,JOHAN (HEB),NULL,NULL
651,ιωναμ,iōnam,iwnam,JONAN,NULL,NULL
650,ιωηλ,iōēl,iwhl,JOEL (HEB),NULL,NULL
649,ιωδα,iōda,iwda,JODA (HEB),NULL,NULL
648,ιωβηδ,iōbēd,iwbhd,OBED (HEB),NULL,NULL
647,ιωβ,iōb,iwb,JOB (HEB),NULL,NULL
652,ιωνας,iōnas,iwnas,JONA (HEB),NULL,NULL
653,ιωραμ,iōram,iwram,JORAM (HEB),NULL,NULL
655,ιωρειμ,iōreim,iwreim,JORIM,NULL,NULL
656,ιωσαφατ,iōsap<sup>h</sup>at,iwsafat,JOSAFAT (HEB),NULL,NULL
657,ιωσης,iōsēs,iwshs,JOSES,NULL,NULL
658,ιωσειας,iōseias,iwseias,JOSIA (HEB),NULL,NULL
659,ιωσηφ,iōsēp<sup>h</sup>,iwshf,JOZEF (HEB),NULL,NULL
660,ιωσηχ,iōsēk<sup>h</sup>,iwshc,JOSECH (HEB),NULL,NULL
661,ιωτα,iōta,iwta,JOTA (HEB),NULL,NULL
662,κ,k,k,drukt voltooiing uit,NULL,NULL
663,-κα-,-ka-,-ka-,BRAND,NULL,NULL
664,-και-,-kai-,-kai-,EN,NULL,NULL
665,καιαφας,kaiap<sup>h</sup>as,kaiafas,KAIAFAS,NULL,NULL
666,-καιν-,-kain-,-kain-,NIEUW,NULL,NULL
667,καιν,kain,kain,KAIN (HEB),NULL,NULL
668,καιναν,kainan,kainan,KAINAN,NULL,NULL
669,-καιρ-,-kair-,-kair-,SEIZOEN,NULL,NULL
670,καισαρ-,kaisar-,kaisar-,CAESAR,NULL,NULL
671,κακ-,kak-,kak-,KWAAD,NULL,NULL
672,-καλ-,-kal-,-kal-,IDEAAL,NULL,NULL
673,-καλ-/-κλ-,-kal-/-kl-,-kal-/-kl-,ROEP,NULL,NULL
674,-καλαμ-,-kalam-,-kalam-,RIET,NULL,NULL
675,-καλυ-/-κλε-/-κλο-,-kalu-/-kle-/-klo-,-kalu-/-kle-/-klo-,DEKKEN,NULL,NULL
676,-κλε-/-κλο-,-kle-/-klo-,-kle-/-klo-,DEKKEN,675,NULL
677,-καμηλ-,-kamēl-,-kamhl-,KAMEEL,NULL,NULL
678,-καμν-,-kamn-,-kamn-,VERFLAUWD,NULL,NULL
679,-καμπ-,-kamp-,-kamp-,BUIGEN,NULL,NULL
680,-καν-,-kan-,-kan-,REGEL,NULL,NULL
681,κανα,kana,kana,KANA,NULL,NULL
682,καναναιος,kananaios,kananaios,KANANIET,NULL,NULL
683,κανδακη,kandakē,kandakh,KANDAKE,NULL,NULL
684,-καπηλ-,-kapēl-,-kaphl-,VENTEN,NULL,NULL
685,καππαδοκια,kappadokia,kappadokia,CAPPADOCIE,NULL,NULL
686,-καρα-/-κρ-/-κρα-,-kara-/-kr-/-kra-,-kara-/-kr-/-kra-,SCHEDEL,NULL,NULL
687,-καρδ-,-kard-,-kard-,HART,NULL,NULL
